model,seed,video_id,original_frame_number,frame_path,category,ground_truth,transformation,transformation_family,severity,prob_fake,pred_fake,correct,saliency_mass,hit_rate,saliency_entropy,SO@10,IoU@10,SO@20,IoU@20,SO@30,IoU@30,SO,IoU,prob_fake_blur,faithfulness_blur,prob_fake_zero,faithfulness_zero,prob_fake_mean,faithfulness_mean,faithfulness,ES_cos,explanation_IoU@10,explanation_IoU@20,explanation_IoU@30,explanation_IoU,clean_prob_fake,clean_pred_fake,prediction_preserved,prediction_state
xception,2024,033_097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000000.jpg,Deepfakes,1,clean,clean,0,0.22421479225158691,0,0,0.06850793622942855,0.0,12.367640495300293,0.0,0.0,0.0,0.0,0.0022875816993464053,0.0013663868826859261,0.0,0.0,0.15347836911678314,0.07073642313480377,0.04893604665994644,0.17527874559164047,0.057689957320690155,0.16652483493089676,0.07073642313480377,,,,,,,,,
xception,2024,033_097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000004.jpg,Deepfakes,1,clean,clean,0,0.9779755473136902,1,1,0.0,0.0,12.550569534301758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499755859375,0.12799996137619019,0.05874829366803169,0.9192272536456585,0.028721056878566742,0.9492544904351234,0.12799996137619019,,,,,,,,,
xception,2024,033_097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000008.jpg,Deepfakes,1,clean,clean,0,0.6116992831230164,1,1,0.13095367612161596,0.0,12.42977523803711,0.0,0.0,0.0,0.0,0.006775067750677507,0.004071661237785016,0.0,0.0,0.45094943046569824,0.16074985265731812,0.3402174115180969,0.27148187160491943,0.358873575925827,0.25282570719718933,0.16074985265731812,,,,,,,,,
xception,2024,033_097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000012.jpg,Deepfakes,1,clean,clean,0,0.48996806144714355,0,0,0.08388364879690278,0.0,12.560670852661133,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0021409108602569093,0.0,0.0,0.5750908255577087,-0.08512276411056519,0.2414931058883667,0.24847495555877686,0.2351566106081009,0.25481145083904266,-0.08512276411056519,,,,,,,,,
xception,2024,033_097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000016.jpg,Deepfakes,1,clean,clean,0,0.8736113905906677,1,1,0.0,0.0,12.500240325927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08510812371969223,0.7885032668709755,0.02577812597155571,0.847833264619112,0.017666073516011238,0.8559453170746565,0.7885032668709755,,,,,,,,,
xception,2024,097_033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000000.jpg,Deepfakes,1,clean,clean,0,0.9986734390258789,1,1,0.9154147972708137,1.0,11.479774475097656,0.9910846953937593,0.4092024539877301,0.8863720757519495,0.6716375914462578,0.7605843030453082,0.7288256227758008,0.8863720757519495,0.6716375914462578,1.0,-0.0013265609741210938,0.11138000339269638,0.8872934356331825,0.1864473819732666,0.8122260570526123,-0.0013265609741210938,,,,,,,,,
xception,2024,097_033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000004.jpg,Deepfakes,1,clean,clean,0,0.986754834651947,1,1,0.6325162685098809,1.0,12.43174934387207,0.981118373275236,0.42008706467661694,0.6757443718228032,0.45579230957629197,0.5453885257806826,0.44455406471981057,0.6757443718228032,0.45579230957629197,0.9998358488082886,-0.013081014156341553,0.015132149681448936,0.9716226849704981,0.09704402834177017,0.8897108063101768,-0.013081014156341553,,,,,,,,,
xception,2024,097_033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000008.jpg,Deepfakes,1,clean,clean,0,0.9978682994842529,1,1,0.9154767417089814,1.0,11.553997039794922,0.9933333333333333,0.40452488687782806,0.9011111111111111,0.6809403862300588,0.7693827160493827,0.7349056603773585,0.9011111111111111,0.6809403862300588,1.0,-0.0021317005157470703,0.11700579524040222,0.8808625042438507,0.16860458254814148,0.8292637169361115,-0.0021317005157470703,,,,,,,,,
xception,2024,097_033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000012.jpg,Deepfakes,1,clean,clean,0,0.9999483823776245,1,1,0.0,0.0,11.620933532714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.161762237548828e-05,0.15082767605781555,0.849120706319809,0.21758213639259338,0.7823662459850311,-5.161762237548828e-05,,,,,,,,,
xception,2024,097_033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000016.jpg,Deepfakes,1,clean,clean,0,0.9999332427978516,1,1,0.9365569262693263,1.0,11.61029052734375,1.0,0.4313423645320197,0.940756602426838,0.7721148213239601,0.7691575440266539,0.766239924134661,0.940756602426838,0.7721148213239601,1.0,-6.67572021484375e-05,0.11836891621351242,0.8815643265843391,0.17334608733654022,0.8265871554613113,-6.67572021484375e-05,,,,,,,,,
xception,2024,033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000000.jpg,Original,0,jpeg_sev3,jpeg,3,0.0006651331204921007,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000004.jpg,Original,0,jpeg_sev3,jpeg,3,0.00032640245626680553,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000008.jpg,Original,0,jpeg_sev3,jpeg,3,0.0008499070536345243,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000012.jpg,Original,0,jpeg_sev3,jpeg,3,0.000560206244699657,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000016.jpg,Original,0,jpeg_sev3,jpeg,3,0.0005924479337409139,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000000.jpg,Original,0,jpeg_sev3,jpeg,3,0.000639274891000241,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000004.jpg,Original,0,jpeg_sev3,jpeg,3,0.0005506114102900028,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000008.jpg,Original,0,jpeg_sev3,jpeg,3,0.001039865193888545,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000012.jpg,Original,0,jpeg_sev3,jpeg,3,0.001191051327623427,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000016.jpg,Original,0,jpeg_sev3,jpeg,3,0.00034888851223513484,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033_097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000000.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0007709739147685468,0,0,0.07501503517984737,0.0,12.736536979675293,0.0,0.0,0.014215686274509804,0.007106101445724087,0.03169934640522876,0.019272799523147227,0.014215686274509804,0.007106101445724087,0.00015708821592852473,0.0006138856988400221,0.0002180594310630113,0.0005529144837055355,0.00014183200255502015,0.0006291419122135267,0.0006138856988400221,0.8987131322420773,0.4010989010989011,0.49177330895795246,0.5941651471737431,0.49177330895795246,0.22421479225158691,0.0,1.0,Incorrect->Incorrect
xception,2024,033_097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000004.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.000750504492316395,0,0,0.0,0.0,12.548526763916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020922433759551495,0.0005412801547208801,0.0003114630526397377,0.0004390414396766573,0.00020936381770297885,0.0005411406746134162,0.0005412801547208801,0.571393195855162,0.04557935200439319,0.16773995706838393,0.2259656652360515,0.16773995706838393,0.9779755473136902,1.0,0.0,Correct->Incorrect
xception,2024,033_097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000008.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0005106950993649662,0,0,0.05127305583089337,0.0,12.568878173828125,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0024390243902439024,0.0,0.0,0.00023844324459787458,0.00027225185476709157,0.00020730096730403602,0.00030339413206093013,0.00016769352077972144,0.0003430015785852447,0.00027225185476709157,0.8392775575930821,0.08769994484280198,0.39680851063829786,0.6445682451253482,0.39680851063829786,0.6116992831230164,1.0,0.0,Correct->Incorrect
xception,2024,033_097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000012.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.008764092810451984,0,0,0.0666424788508574,0.0,12.782846450805664,0.0,0.0,0.010091302258529554,0.005140758873929009,0.01792573623559539,0.010995483997643826,0.010091302258529554,0.005140758873929009,0.0009788689203560352,0.007785223890095949,0.0008043714333325624,0.007959721377119422,0.0006312233163043857,0.008132869494147599,0.007785223890095949,0.8945459226237179,0.33205374280230326,0.5380635624538064,0.6429134893505127,0.5380635624538064,0.48996806144714355,0.0,1.0,Incorrect->Incorrect
xception,2024,033_097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000016.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0007281395373865962,0,0,0.0,0.0,12.644865989685059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020811254216823727,0.0005200269952183589,0.00036074285162612796,0.00036739668576046824,0.00020573455549310893,0.0005224049818934873,0.0005200269952183589,0.8294983364320895,0.3253012048192771,0.4801498127340824,0.5655845869622592,0.4801498127340824,0.8736113905906677,1.0,0.0,Correct->Incorrect
xception,2024,097_033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000000.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0016614358173683286,0,0,0.04779874027588268,0.0,13.122013092041016,0.0,0.0,0.0,0.0,0.0009903441445902451,0.0005492242207881368,0.0,0.0,0.0004751848173327744,0.0011862510000355542,0.0005312954308465123,0.0011301403865218163,0.0007972418097779155,0.0008641940075904131,0.0011862510000355542,0.015354779171405094,0.0,0.0,0.00024764735017335313,0.0,0.9986734390258789,1.0,0.0,Correct->Incorrect
xception,2024,097_033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000004.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0034765040036290884,0,0,0.044289758861700536,0.0,13.222322463989258,0.0,0.0,0.0,0.0,0.0007262164124909223,0.00040994807324405577,0.0,0.0,0.0006020091823302209,0.0028744948212988675,0.0004558216314762831,0.0030206823721528053,0.000889037037268281,0.0025874669663608074,0.0028744948212988675,0.2680814647131474,0.0,0.12362301101591187,0.18248175182481752,0.12362301101591187,0.986754834651947,1.0,0.0,Correct->Incorrect
xception,2024,097_033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000008.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0014913936611264944,0,0,0.059407445012575215,0.0,13.142659187316895,0.0,0.0,0.0022222222222222222,0.001,0.004691358024691358,0.0025896142837672073,0.0022222222222222222,0.001,0.00014322927745524794,0.0013481643836712465,0.00025001628091558814,0.0012413773802109063,0.00028300509438849986,0.0012083885667379946,0.0013481643836712465,0.01729528162233905,0.0,0.0,0.0,0.0,0.9978682994842529,1.0,0.0,Correct->Incorrect
xception,2024,097_033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000012.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.001302590360864997,0,0,0.0,0.0,13.12197494506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004937605699524283,0.0008088297909125686,0.0003077885485254228,0.000994801812339574,0.0003679236688185483,0.0009346666920464486,0.0008088297909125686,0.026592577149466896,0.0,0.0,0.0,0.0,0.9999483823776245,1.0,0.0,Correct->Incorrect
xception,2024,097_033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000016.jpg,Deepfakes,1,jpeg_sev3,jpeg,3,0.0033343054819852114,0,0,0.054798738762914266,0.0,13.22372817993164,0.0,0.0,0.0007137758743754461,0.00033068783068783067,0.008805330794859591,0.0049912316201268046,0.0007137758743754461,0.00033068783068783067,0.0006256924825720489,0.0027086129994131625,0.0005322912475094199,0.0028020142344757915,0.0007484561647288501,0.0025858493172563612,0.0027086129994131625,0.027637324035208542,0.0,0.0,0.006346545323913304,0.0,0.9999332427978516,1.0,0.0,Correct->Incorrect
xception,2024,033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000000.jpg,Original,0,resize_sev3,resize,3,0.012478906661272049,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000004.jpg,Original,0,resize_sev3,resize,3,0.11792939156293869,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000008.jpg,Original,0,resize_sev3,resize,3,0.10151979327201843,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000012.jpg,Original,0,resize_sev3,resize,3,0.2016957700252533,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000016.jpg,Original,0,resize_sev3,resize,3,0.9903771281242371,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000000.jpg,Original,0,resize_sev3,resize,3,0.9547625780105591,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000004.jpg,Original,0,resize_sev3,resize,3,0.9952672719955444,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000008.jpg,Original,0,resize_sev3,resize,3,0.082644984126091,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000012.jpg,Original,0,resize_sev3,resize,3,0.18087930977344513,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000016.jpg,Original,0,resize_sev3,resize,3,0.9999995231628418,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033_097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000000.jpg,Deepfakes,1,resize_sev3,resize,3,0.9634542465209961,1,1,0.6393925777440413,1.0,11.91373348236084,0.9205882352941176,0.43654114365411434,0.7245098039215686,0.5615501519756839,0.592156862745098,0.546112115732369,0.7245098039215686,0.5615501519756839,1.0,-0.036545753479003906,0.258646160364151,0.7048080861568451,0.27707725763320923,0.6863769888877869,-0.036545753479003906,0.15308589225256183,0.0,0.0,0.04134762633996937,0.0,0.22421479225158691,0.0,0.0,Incorrect->Correct
xception,2024,033_097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000004.jpg,Deepfakes,1,resize_sev3,resize,3,0.9989111423492432,1,1,0.0,0.0,11.254517555236816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936819076538,-0.0010825395584106445,0.238542377948761,0.7603687644004822,0.17155876755714417,0.827352374792099,-0.0010825395584106445,0.7179784515627634,0.37971014492753624,0.40568475452196384,0.4051660516605166,0.40568475452196384,0.9779755473136902,1.0,1.0,Correct->Correct
xception,2024,033_097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000008.jpg,Deepfakes,1,resize_sev3,resize,3,0.9998642206192017,1,1,0.786675158293274,1.0,11.279861450195312,0.9359756097560976,0.45080763582966227,0.7647357723577236,0.6160458452722063,0.6371951219512195,0.616519174041298,0.7647357723577236,0.6160458452722063,0.9999996423721313,-0.0001354217529296875,0.2814507484436035,0.7184134721755981,0.24676063656806946,0.7531035840511322,-0.0001354217529296875,0.17199491577246062,0.0,0.0,0.004081632653061225,0.0,0.6116992831230164,1.0,1.0,Correct->Correct
xception,2024,033_097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000012.jpg,Deepfakes,1,resize_sev3,resize,3,0.8051994442939758,1,1,0.19430638884059864,0.0,12.481624603271484,0.0,0.0,0.09178279673234022,0.048786717752235,0.19186418962203716,0.13170624450307827,0.09178279673234022,0.048786717752235,0.15176063776016235,0.6534388065338135,0.0576028935611248,0.747596550732851,0.07418699562549591,0.7310124486684799,0.6534388065338135,0.930022045078808,0.5218978102189781,0.7134623301770275,0.6398004725649776,0.7134623301770275,0.48996806144714355,0.0,0.0,Incorrect->Correct
xception,2024,033_097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\033_097\frame_000016.jpg,Deepfakes,1,resize_sev3,resize,3,0.2844742238521576,0,0,0.0,0.0,12.486379623413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676756143569946,-0.38320139050483704,0.909679114818573,-0.6252048909664154,0.8671121597290039,-0.5826379358768463,-0.38320139050483704,0.9158452213575683,0.8198529411764706,0.8083257090576396,0.6629276500280427,0.8083257090576396,0.8736113905906677,1.0,0.0,Correct->Incorrect
xception,2024,097_033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000000.jpg,Deepfakes,1,resize_sev3,resize,3,0.9997989535331726,1,1,0.8694974446643384,1.0,11.913607597351074,1.0,0.4144088669950739,0.942072038618641,0.7452996474735605,0.7551374102500619,0.7198489497285815,0.942072038618641,0.7452996474735605,1.0,-0.00020104646682739258,0.20009544491767883,0.7997035086154938,0.19524942338466644,0.8045495301485062,-0.00020104646682739258,0.9357607292567468,0.6285541439806412,0.6958438287153652,0.7006315789473684,0.6958438287153652,0.9986734390258789,1.0,1.0,Correct->Correct
xception,2024,097_033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000004.jpg,Deepfakes,1,resize_sev3,resize,3,0.7659510374069214,1,1,0.2211396481840738,0.0,12.808778762817383,0.0,0.0,0.04030501089324619,0.019029658837647866,0.1813120309852336,0.11396835057821059,0.04030501089324619,0.019029658837647866,0.8983570337295532,-0.13240599632263184,0.34003904461860657,0.4259119927883148,0.39558345079421997,0.3703675866127014,-0.13240599632263184,0.6494705683193938,0.0,0.1886059559775572,0.39702401082177885,0.1886059559775572,0.986754834651947,1.0,1.0,Correct->Correct
xception,2024,097_033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000008.jpg,Deepfakes,1,resize_sev3,resize,3,0.9997833371162415,1,1,0.8883234878717847,1.0,11.82855224609375,1.0,0.40834845735027225,0.9333333333333333,0.7228915662650602,0.7716049382716049,0.7385960765776413,0.9333333333333333,0.7228915662650602,1.0,-0.00021666288375854492,0.1645638793706894,0.8352194577455521,0.17096495628356934,0.8288183808326721,-0.00021666288375854492,0.9897376717184483,0.8543956043956044,0.8907563025210085,0.8434228493400091,0.8907563025210085,0.9978682994842529,1.0,1.0,Correct->Correct
xception,2024,097_033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000012.jpg,Deepfakes,1,resize_sev3,resize,3,0.6260941028594971,1,1,0.0,0.0,12.70041561126709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774750471115112,-0.35138094425201416,0.9629945755004883,-0.3369004726409912,0.9753199815750122,-0.34922587871551514,-0.35138094425201416,0.20490632543424794,0.0,0.0,0.04566683964711987,0.0,0.9999483823776245,1.0,1.0,Correct->Correct
xception,2024,097_033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\fake\097_033\frame_000016.jpg,Deepfakes,1,resize_sev3,resize,3,0.9970088601112366,1,1,0.7431908317784047,1.0,12.33256721496582,1.0,0.4313423645320197,0.8890078515346181,0.6999157066591739,0.675392670157068,0.6153512575888985,0.8890078515346181,0.6999157066591739,1.0,-0.0029911398887634277,0.2021564096212387,0.7948524504899979,0.18420235812664032,0.8128065019845963,-0.0029911398887634277,0.9239956064233407,0.6768402154398564,0.6798561151079137,0.5687885010266941,0.6798561151079137,0.9999332427978516,1.0,1.0,Correct->Correct
xception,2024,033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000000.jpg,Original,0,darkening_sev3,darkening,3,0.0013284460874274373,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000004.jpg,Original,0,darkening_sev3,darkening,3,0.003032186534255743,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000008.jpg,Original,0,darkening_sev3,darkening,3,0.003461417742073536,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
